,ride_id,rideable_type,started_at,ended_at,start_station_name,start_station_id,end_station_name,end_station_id,start_lat,start_lng,end_lat,end_lng,member_casual
16329,1938912BB5834256,classic_bike,2021-01-04 05:52:58,2021-01-04 06:02:21,19th & Savannah St SE,31815.0,Alabama & MLK Ave SE,31800.0,38.84623,-76.97703,38.84322988730829,-76.9993758201599,casual
24418,C694E9CCC54F1978,classic_bike,2021-01-04 05:54:11,2021-01-04 06:12:41,3000 Connecticut Ave NW / National Zoo,31307.0,Connecticut & Nebraska Ave NW,31310.0,38.930282,-77.055599,38.955016,-77.069956,member
56826,957B90609734C8B0,classic_bike,2021-01-04 05:54:12,2021-01-04 06:00:42,13th & D St NE,31622.0,2nd St & Massachusetts Ave NE,31641.0,38.894832,-76.987633,38.894971999999996,-77.003135,member
79057,979F539468CF560D,classic_bike,2021-01-04 05:56:39,2021-01-04 06:06:48,Maryland Ave & E St NE,31640.0,3rd & G St SE,31625.0,38.896134,-76.9929,38.881184999999995,-77.001828,member
31745,8A4A060235181D87,classic_bike,2021-01-04 05:57:01,2021-01-04 06:08:12,7th & T St NW,31109.0,18th & New Hampshire Ave NW,31324.0,38.9155,-77.0222,38.911268,-77.041829,member
59951,C14AF43E9B709344,classic_bike,2021-01-04 05:57:19,2021-01-04 06:03:33,1st & H St NW,31638.0,7th & F St NW / National Portrait Gallery,31232.0,38.900358000000004,-77.012108,38.89728304853854,-77.0221906900406,member
29099,1487E993960AF7F5,classic_bike,2021-01-04 05:57:25,2021-01-04 06:03:56,Massachusetts Ave & 6th St NE,31657.0,4th & M St SE,31652.0,38.892934000000004,-76.998273,38.876751,-77.000736,member
12442,B5DE74ED7A35ADCA,electric_bike,2021-01-04 05:58:48,2021-01-04 06:09:37,11th & Girard St NW,31126.0,Rhode Island & Connecticut Ave NW,31239.0,38.925536,-77.0270375,38.905869,-77.03960633333334,member
34579,28FC6D5E7DB1F7E8,classic_bike,2021-01-04 05:59:00,2021-01-04 06:01:16,Rhode Island Ave & V St NE,31513.0,2nd St & Seaton Pl NE,31522.0,38.918155,-77.004746,38.914751108831155,-77.00356006622314,member
70903,D2E886B0724B8D5B,classic_bike,2021-01-04 05:59:40,2021-01-04 06:03:36,15th & P St NW,31201.0,Vermont Ave & I St NW,31291.0,38.909867999999996,-77.034421,38.901136451737045,-77.03445106744765,member
33904,EBC29B3DAC9766EB,electric_bike,2021-01-04 06:00:20,2021-01-04 06:07:55,39th & Calvert St NW / Stoddert,31306.0,C & O Canal & Wisconsin Ave NW,31225.0,38.92260783333333,-77.07724183333333,38.90364633333333,-77.0626825,casual
76941,9A9AC84A67B39FB0,electric_bike,2021-01-04 06:00:43,2021-01-04 06:15:43,Maryland Ave & E St NE,31640.0,22nd St & Constitution Ave NW,31292.0,38.896127500000006,-76.99286566666666,38.89233166666666,-77.04884533333333,member
1655,736B3BDE5DFE07AB,electric_bike,2021-01-04 06:02:34,2021-01-04 06:14:28,2nd St & Seaton Pl NE,31522.0,5th & F St NW,31620.0,38.914674833333336,-77.00353366666667,38.8971985,-77.019161,member
36078,AF44C4BF69F75850,electric_bike,2021-01-04 06:02:46,2021-01-04 06:06:33,New Jersey Ave & N St NW/Dunbar HS,31636.0,Convention Center / 7th & M St NW,31223.0,38.90736233333333,-77.0153235,38.90572766666666,-77.02210783333334,member
40767,55638AAEE3BA2174,classic_bike,2021-01-04 06:06:04,2021-01-04 06:11:31,Adams Mill & Columbia Rd NW,31104.0,20th St & Florida Ave NW,31110.0,38.922925,-77.04258100000001,38.9154,-77.0446,member
50510,6BC9E409C4108469,classic_bike,2021-01-04 06:07:14,2021-01-04 06:20:34,9th & Upshur St NW,31404.0,Columbia & Ontario Rd NW,31296.0,38.9418,-77.0251,38.924088,-77.040787,casual
78751,4AF95DA2B7B868BC,classic_bike,2021-01-04 06:07:30,2021-01-04 06:15:38,Duke St & John Carlyle St,31081.0,Royal St & Wilkes St,31903.0,38.804378,-77.060866,38.799267,-77.0447,member
11611,ADE4DDB42D7C1697,classic_bike,2021-01-04 06:07:55,2021-01-04 06:12:05,New Hampshire Ave & T St NW,31229.0,Massachusetts Ave & Dupont Circle NW,31200.0,38.915544,-77.038252,38.9101,-77.0444,member
22291,992E70A21E8116D2,classic_bike,2021-01-04 06:11:38,2021-01-04 06:15:02,15th & Euclid St  NW,31117.0,New Hampshire Ave & T St NW,31229.0,38.92333,-77.0352,38.915544,-77.038252,member
67501,08E33148DD084458,classic_bike,2021-01-04 06:11:52,2021-01-04 06:17:33,1st & M St NE,31603.0,7th & K St NW,31653.0,38.905696999999996,-77.005483,38.902674,-77.021392,member
